GRIN_Accession,mean_observation_value
PI374158,13.2
PI374169,13.2
PI398299,13.2
PI398596,15.6
PI399078,14.75
PI417140,13.2
PI445845,13.2
PI468913,11.5
PI483467,13.2
PI506632,13.2
PI507737,13.2
PI507817,13.2
PI507829,13.2
PI518286,13.2
PI567292,13.2
PI567397,13.2
PI269518A,16.049999999999997
PI437385B,16.2
PI549030B,14.7
PI464937A,13.2
PI567032A,13.2
PI594491,15.9
PI594665,13.2
PI588032B,14.5
PI594631B,13.2
PI612759B,13.2
PI605781E,13.2
PI166048,14.950000000000001
PI171436,13.3
PI175178,13.3
PI222548,13.3
PI259538,13.3
PI259543,13.3
PI274508,16.05
PI340000,15.25
PI398477,15.6
PI398613,15.3
PI408012,15.25
PI417061,13.3
PI424024,13.3
PI424063,11.25
PI437345,13.3
PI506607,13.3
PI548443,13.3
PI567066,13.3
PI567195,13.3
PI407778B,15.05
PI438440-2,13.3
PI342619A,14.9
PI483071B,14.15
PI566987A,13.3
PI594630,15.3
PI594873,13.3
PI603645,13.3
PI594470B,13.3
PI594739A,13.3
PI605779E,13.3
PI605787B,13.3
PI605779A,13.3
PI165914,15.149999999999999
PI219653,13.4
PI303652,15.0
PI323550,13.4
PI323551,13.4
PI398593,11.45
PI398896,13.4
PI399084,14.15
PI407842,13.4
PI408059,14.95
PI417120,13.4
PI437558,13.4
PI437668,13.4
PI468968,16.25
PI476897,13.4
PI507788,13.4
PI507816,13.4
PI507826,13.4
PI566976,13.4
PI567346,13.4
PI567641,13.4
PI507812A,13.4
PI507818A,13.4
PI588020,14.600000000000001
PI578306B,14.45
PI566968A,13.4
PI567073B,13.4
PI567108B,13.4
PI593982,13.4
PI594276,14.3
PI594481,13.4
PI594848,13.4
PI594834B,13.4
PI603428D,13.4
PI605778A,13.4
PI81767,13.5
PI165896,13.5
PI189402,13.5
PI204332,13.5
PI212605,13.5
PI284815,15.75
PI323576,14.4
PI346301,13.5
PI374165,13.5
PI374168,13.5
PI398633,13.95
PI407225,13.5
PI417131,13.5
PI423722,13.5
PI471933,13.5
PI507724,13.5
PI507766,13.5
PI507787,13.5
PI548478,13.5
PI567050,13.5
PI567345,13.5
PI567384,13.5
PI407808-1,14.9
PI424172B,13.5
PI424294B,13.5
PI507174A,13.5
PI587798,16.55
PI416826A,13.5
PI566989C,13.5
PI567002A,13.5
PI567007B,13.5
PI567014A,13.5
PI567023A,13.5
PI594473,13.5
PI594823,15.55
PI588011E,16.75
PI603171,13.5
PI603425,13.5
PI603647,13.5
PI605783,15.8
PI594683C,13.5
PI594759C,13.5
PI603443C,13.5
PI605787D,15.05
PI165926,13.6
PI192872,13.6
PI210349,13.6
PI319533,13.6
PI341252,13.6
PI366121,10.05
PI374155,13.6
PI374167,13.6
PI416812,13.6
PI437656,13.6
PI438286,13.6
PI441377,13.6
PI476888,13.6
PI518721,16.3
PI567380,13.6
PI567407,13.6
PI291274B,13.6
PI437661A,13.6
PI548402S,13.85
PI507725A,13.6
PI567250A,13.85
PI566998B,13.6
PI567067A,13.6
PI567088A,13.6
PI567115A,13.6
PI594886,13.6
PI588032A,15.350000000000001
PI603175,13.6
PI606411,13.6
PI594004C,14.95
PI594471A,13.6
PI594494A,13.6
PI594685B,15.100000000000001
PI594759D,15.25
PI603545B,13.6
PI603662B,13.6
PI603753B,13.6
PI605779C,13.6
PI81773,13.95
PI200461,13.7
PI200551,13.7
PI200553,13.7
PI205085,14.1
PI247679,13.7
PI307865,14.85
PI323558,13.7
PI323572,13.7
PI323577,14.2
PI326578,13.7
PI374206,13.7
PI398956,13.7
PI407836,14.2
PI407838,14.649999999999999
PI417138,13.7
PI424453,13.7
PI441378,13.7
PI471932,13.7
PI506690,18.0
PI507193,13.7
PI507283,13.7
PI507815,13.7
PI561227,16.799999999999997
PI566996,13.7
PI567314,13.7
PI561389B,13.7
PI587615,16.45
PI567299A,13.7
PI567441B,15.549999999999999
PI566971A,13.7
PI567085A,13.7
PI567089B,13.7
PI594643,15.95
PI594611,16.85
PI587996B,14.7
PI603618,13.7
PI606431,13.7
PI594471D,13.7
PI594759A,15.15
PI594760A,13.7
PI603551C,13.7
PI612761B,13.95
PI81765,13.8
PI85342,15.75
PI165989,13.8
PI174858,13.8
PI174863,13.8
PI175182,13.8
PI204335,13.8
PI205899,13.8
PI209340,13.8
PI281885,13.8
PI285091,13.8
PI323554,13.8
PI374175,13.8
PI398220,13.8
PI398536,16.0
PI398819,15.450000000000001
PI407834,15.35
PI408035,15.65
PI408088,15.0
PI408210,14.45
PI417009,13.8
PI417149,15.1
PI417501,13.8
PI434982,13.8
PI438152,13.8
PI497963,13.95
PI506491,13.8
PI507813,13.8
PI567111,13.8
PI567120,15.4
PI407998D,15.55
PI437661B,13.8
PI437716A,15.85
PI508296E,13.8
PI567371A,14.9
PI567642A,13.8
PI567269A,13.8
PI578311B,13.8
PI566985A,15.25
PI567041A,13.8
PI567122B,13.8
PI594307,13.8
PI594502,13.8
